element_index,conductivity,sensitivity,is_high
0,500.0,-6.91001053321791,1
1,500.0,-6.998976457439701,1
2,500.0,-6.923571604287582,1
3,500.0,-6.784684664822462,1
4,500.0,-6.873213245921018,1
5,500.0,-6.453144146605555,1
6,500.0,-7.811285359060666,1
7,500.0,-7.461923278625731,1
8,500.0,-7.900787656244334,1
9,500.0,-7.209672159608906,1
10,500.0,-6.591311436167471,1
11,500.0,-6.853334235588275,1
12,500.0,-6.86594312808058,1
13,500.0,-7.054777572768816,1
14,500.0,-7.085730592841646,1
15,500.0,-6.988964217332458,1
16,500.0,-6.939768719162661,1
17,500.0,-7.0145091535624875,1
18,500.0,-6.7355954688103195,1
19,500.0,-7.360801906209653,1
20,500.0,-7.314880575744978,1
21,500.0,-6.927079198061267,1
22,500.0,-6.877764413394189,1
23,500.0,-6.5631985266928154,1
24,500.0,-6.587065240898187,1
25,500.0,-6.907264858823978,1
26,500.0,-7.178147814602598,1
27,500.0,-7.043567063309856,1
28,500.0,-6.834469300603643,1
29,500.0,-6.570633687080452,1
30,500.0,-6.48765933927827,1
31,500.0,-6.727880601705327,1
32,500.0,-6.724015575636921,1
33,500.0,-6.773578271266809,1
34,500.0,-6.834328046823055,1
35,500.0,-6.883365656316268,1
36,500.0,-6.8126016445700115,1
37,500.0,-7.327751167108598,1
38,500.0,-6.9466067309591155,1
39,500.0,-8.205554220922739,1
40,500.0,-8.126329057766869,1
41,500.0,-7.2577693487188855,1
42,500.0,-7.354398649772475,1
43,500.0,-7.3216848446152705,1
44,500.0,-7.564675337435653,1
45,500.0,-7.048201686184269,1
46,500.0,-7.053966806757813,1
47,500.0,-6.155242540165957,1
48,500.0,-6.671794343467638,1
49,500.0,-7.021753089331402,1
50,500.0,-6.723920820257515,1
51,500.0,-6.503154080733369,1
52,500.0,-7.060220888791702,1
53,500.0,-6.354942032989559,1
54,500.0,-6.870196401819448,1
55,500.0,-6.52510252908907,1
56,500.0,-6.484738802895561,1
57,500.0,-6.795513617147469,1
58,500.0,-6.961810082445323,1
59,500.0,-6.9220877488822,1
60,500.0,-7.006498646042109,1
61,500.0,-6.801995710629004,1
62,500.0,-6.809728041052304,1
63,500.0,-6.555031680168147,1
64,500.0,-6.667795126870359,1
65,500.0,-6.620337611385811,1
66,500.0,-6.629028590221866,1
67,500.0,-6.6272605396980415,1
68,500.0,-6.3006835467630395,1
69,500.0,-6.49206558348143,1
70,500.0,-6.479865987611598,1
71,500.0,-6.334703090782385,1
72,500.0,-6.764259151722259,1
73,500.0,-6.886540464642815,1
74,500.0,-6.904627597391875,1
75,500.0,-6.57045191535261,1
76,500.0,-6.404736054952281,1
77,500.0,-6.082842833603052,1
78,500.0,-6.583358653095072,1
79,500.0,-6.10600967001774,1
80,500.0,-7.006590596899787,1
81,500.0,-7.047534021230379,1
82,500.0,-6.998019585207434,1
83,500.0,-7.082825453003792,1
84,500.0,-6.929317039523911,1
85,500.0,-7.032333839540917,1
86,500.0,-7.122476479819391,1
87,500.0,-6.852586734549387,1
88,500.0,-6.688868191305379,1
89,500.0,-6.753080964303401,1
90,500.0,-6.756636929864993,1
91,500.0,-6.8526441609299615,1
92,500.0,-6.915564072148495,1
93,500.0,-6.895759376626694,1
94,500.0,-6.832110072433596,1
95,500.0,-6.903052615596576,1
96,500.0,-6.904976443269495,1
97,500.0,-6.573725511906884,1
98,500.0,-6.663447626442372,1
99,500.0,-6.650203991597678,1
100,500.0,-6.7352316263344285,1
101,500.0,-6.622556821858477,1
102,500.0,-6.620957010552811,1
103,500.0,-6.70056216950446,1
104,500.0,-6.876300639653407,1
105,500.0,-6.811911922540376,1
106,500.0,-6.804074165882895,1
107,500.0,-6.781096744579363,1
108,500.0,-6.773719874150779,1
109,500.0,-6.720286381001286,1
110,500.0,-6.80680728442765,1
111,500.0,-6.7576119209151955,1
112,500.0,-6.809325953238502,1
113,500.0,-6.85462936328753,1
114,500.0,-6.843207197568618,1
115,500.0,-6.947200202826139,1
116,500.0,-6.7782420422195795,1
117,500.0,-6.827678631745857,1
118,500.0,-7.187246404968569,1
119,500.0,-7.251403224289251,1
120,500.0,-6.957074313809311,1
121,500.0,-7.03427987229855,1
122,500.0,-6.875140013686746,1
123,500.0,-6.893997849720134,1
124,500.0,-6.9623990431625575,1
125,500.0,-6.908239449727381,1
126,500.0,-7.331251395863389,1
127,500.0,-7.137342163807889,1
128,500.0,-7.561327750817547,1
129,500.0,-7.398045080192437,1
130,500.0,-7.250602369565781,1
131,500.0,-7.294313859813289,1
132,500.0,-7.0477004736626165,1
133,500.0,-7.048278586074347,1
134,500.0,-7.046709620764777,1
135,500.0,-7.004603563050392,1
136,500.0,-7.009037550532686,1
137,500.0,-7.006105209602055,1
138,500.0,-6.839949767399799,1
139,500.0,-6.766516399226776,1
140,500.0,-6.668704323442459,1
141,500.0,-6.648783796339917,1
142,500.0,-6.993563361479454,1
143,500.0,-6.669716372189653,1
144,500.0,-8.047204406667207,1
145,500.0,-7.900888624377043,1
146,500.0,-7.246641336096063,1
147,500.0,-7.429559566798507,1
148,500.0,-7.0552649560621585,1
149,500.0,-6.257922220011952,1
150,500.0,-6.4747719775852435,1
151,500.0,-6.52054717817304,1
152,500.0,-6.497584772454099,1
153,500.0,-6.423743100387053,1
