element_index,conductivity,sensitivity,is_high
0,500.0,0.0,1
1,1000.0,0.0,0
2,500.0,0.0,1
3,1000.0,0.0,0
4,500.0,0.0,1
5,500.0,0.0,1
6,1000.0,0.0,0
7,1000.0,0.0,0
8,500.0,0.0,1
9,1000.0,0.0,0
10,500.0,0.0,1
11,500.0,0.0,1
12,500.0,0.0,1
13,1000.0,0.0,0
14,500.0,0.0,1
15,1000.0,0.0,0
16,500.0,0.0,1
17,500.0,0.0,1
18,500.0,0.0,1
19,1000.0,0.0,0
20,500.0,0.0,1
21,500.0,0.0,1
22,500.0,0.0,1
23,500.0,0.0,1
24,1000.0,0.0,0
25,500.0,0.0,1
26,1000.0,0.0,0
27,500.0,0.0,1
28,1000.0,0.0,0
29,1000.0,0.0,0
30,1000.0,0.0,0
31,1000.0,0.0,0
32,1000.0,0.0,0
33,500.0,0.0,1
34,500.0,0.0,1
35,1000.0,0.0,0
36,500.0,0.0,1
37,500.0,0.0,1
38,500.0,0.0,1
39,500.0,0.0,1
40,1000.0,0.0,0
41,500.0,0.0,1
42,1000.0,0.0,0
43,1000.0,0.0,0
44,500.0,0.0,1
45,1000.0,0.0,0
46,1000.0,0.0,0
47,1000.0,0.0,0
48,500.0,0.0,1
49,500.0,0.0,1
50,1000.0,0.0,0
51,1000.0,0.0,0
52,1000.0,0.0,0
53,1000.0,0.0,0
54,500.0,0.0,1
55,1000.0,0.0,0
56,500.0,0.0,1
57,500.0,0.0,1
58,1000.0,0.0,0
59,500.0,0.0,1
60,500.0,0.0,1
61,1000.0,0.0,0
62,1000.0,0.0,0
63,500.0,0.0,1
64,500.0,0.0,1
65,1000.0,0.0,0
66,1000.0,0.0,0
67,1000.0,0.0,0
68,500.0,0.0,1
69,1000.0,0.0,0
70,500.0,0.0,1
71,500.0,0.0,1
72,1000.0,0.0,0
73,1000.0,0.0,0
74,1000.0,0.0,0
75,1000.0,0.0,0
76,1000.0,0.0,0
77,1000.0,0.0,0
78,500.0,0.0,1
79,500.0,0.0,1
80,1000.0,0.0,0
81,1000.0,0.0,0
82,500.0,0.0,1
83,500.0,0.0,1
84,1000.0,0.0,0
85,500.0,0.0,1
86,500.0,0.0,1
87,500.0,0.0,1
88,500.0,0.0,1
89,500.0,0.0,1
90,500.0,0.0,1
91,1000.0,0.0,0
92,1000.0,0.0,0
93,1000.0,0.0,0
94,1000.0,0.0,0
95,1000.0,0.0,0
96,1000.0,0.0,0
97,1000.0,0.0,0
98,500.0,0.0,1
99,1000.0,0.0,0
100,1000.0,0.0,0
101,500.0,0.0,1
102,500.0,0.0,1
103,500.0,0.0,1
104,500.0,0.0,1
105,1000.0,0.0,0
106,500.0,0.0,1
107,500.0,0.0,1
108,500.0,0.0,1
109,500.0,0.0,1
110,500.0,0.0,1
111,1000.0,0.0,0
112,1000.0,0.0,0
113,500.0,0.0,1
114,500.0,0.0,1
115,1000.0,0.0,0
116,1000.0,0.0,0
117,500.0,0.0,1
118,1000.0,0.0,0
119,500.0,0.0,1
120,500.0,0.0,1
121,1000.0,0.0,0
122,1000.0,0.0,0
123,500.0,0.0,1
124,1000.0,0.0,0
125,1000.0,0.0,0
126,500.0,0.0,1
127,500.0,0.0,1
128,1000.0,0.0,0
129,500.0,0.0,1
130,500.0,0.0,1
131,500.0,0.0,1
132,1000.0,0.0,0
133,1000.0,0.0,0
134,1000.0,0.0,0
135,1000.0,0.0,0
136,1000.0,0.0,0
137,500.0,0.0,1
138,1000.0,0.0,0
139,1000.0,0.0,0
140,1000.0,0.0,0
141,500.0,0.0,1
142,1000.0,0.0,0
143,500.0,0.0,1
144,1000.0,0.0,0
145,1000.0,0.0,0
146,500.0,0.0,1
147,500.0,0.0,1
148,1000.0,0.0,0
149,500.0,0.0,1
150,1000.0,0.0,0
151,500.0,0.0,1
152,500.0,0.0,1
153,500.0,0.0,1
154,1000.0,0.0,0
155,1000.0,0.0,0
156,1000.0,0.0,0
157,500.0,0.0,1
158,500.0,0.0,1
159,1000.0,0.0,0
160,1000.0,0.0,0
161,500.0,0.0,1
162,1000.0,0.0,0
163,500.0,0.0,1
164,500.0,0.0,1
165,500.0,0.0,1
166,500.0,0.0,1
167,500.0,0.0,1
168,500.0,0.0,1
169,500.0,0.0,1
170,500.0,0.0,1
171,500.0,0.0,1
172,500.0,0.0,1
173,1000.0,0.0,0
174,500.0,0.0,1
175,1000.0,0.0,0
176,1000.0,0.0,0
177,1000.0,0.0,0
178,500.0,0.0,1
179,1000.0,0.0,0
180,1000.0,0.0,0
181,1000.0,0.0,0
182,1000.0,0.0,0
183,500.0,0.0,1
184,1000.0,0.0,0
185,500.0,0.0,1
186,1000.0,0.0,0
187,1000.0,0.0,0
188,1000.0,0.0,0
189,1000.0,0.0,0
190,1000.0,0.0,0
191,500.0,0.0,1
192,500.0,0.0,1
193,500.0,0.0,1
194,500.0,0.0,1
195,1000.0,0.0,0
